id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E01283,X Article lead - 2029310888705179649,Article / social longform,http://x.com/i/article/2029310888705179649,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @synthesis_md: https://t.co/q2AqPuiQX0
E01284,X Article lead - 2029489286559510528,Article / social longform,http://x.com/i/article/2029489286559510528,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/kTVyonwYzw
E01285,X Article lead - 2029683955176198144,Article / social longform,http://x.com/i/article/2029683955176198144,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @papa_raw: https://t.co/ndLPNoxzjn
E01286,X Article lead - 2029944322876133380,Article / social longform,http://x.com/i/article/2029944322876133380,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @kennyistyping: https://t.co/yoXD74pCEK
E01287,X Article lead - 2029947595485769728,Article / social longform,http://x.com/i/article/2029947595485769728,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @christine_dkim: https://t.co/rJF06waJyz
E01288,X Article lead - 2030717360672272384,Article / social longform,http://x.com/i/article/2030717360672272384,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @buidlguidl: https://t.co/cVETTWCuWG
E01289,X Article lead - 2030961559061528576,Article / social longform,http://x.com/i/article/2030961559061528576,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @maxlomu: https://t.co/goa4PNy8ap
E01290,X Article lead - 2031024894620975104,Article / social longform,http://x.com/i/article/2031024894620975104,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @feemschats: https://t.co/faJYOZH0YK
E01291,X Article lead - 2031025833964658688,Article / social longform,http://x.com/i/article/2031025833964658688,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @arkreen_network: https://t.co/qliBAkka99
E01292,X Article lead - 2031240381510094848,Article / social longform,http://x.com/i/article/2031240381510094848,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/4pdhfEEMJq
E01293,X Article lead - 2031260463280041986,Article / social longform,http://x.com/i/article/2031260463280041986,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @seer_pm: https://t.co/avlxcRtKqV
E01294,X Article lead - 2032089015327883264,Article / social longform,http://x.com/i/article/2032089015327883264,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @Etherealize_io: https://t.co/DrKAELg2kw
E01295,X Article lead - 2032180631409426434,Article / social longform,http://x.com/i/article/2032180631409426434,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @izgnzlz: https://t.co/4hffMRx4Z8
E01296,X Article lead - 2033851337645891584,Article / social longform,http://x.com/i/article/2033851337645891584,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @_julianma: https://t.co/7WZDKbB4Iz
E01297,X Article lead - 2033894681965117441,Article / social longform,http://x.com/i/article/2033894681965117441,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @jchaskin22: https://t.co/ydkl0MJZQd
E01298,X Article lead - 2033909494313586688,Article / social longform,http://x.com/i/article/2033909494313586688,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @humpty0x: https://t.co/pQZGQH2o8q
E01299,X Article lead - 2034029278661382145,Article / social longform,http://x.com/i/article/2034029278661382145,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @theopenmachine: https://t.co/ia3a17SKdE
E01300,X Article lead - 2035067501277847552,Article / social longform,http://x.com/i/article/2035067501277847552,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @synthesis_md: https://t.co/bcCu2Hd0RZ
E01301,X Article lead - 2036902131392024576,Article / social longform,http://x.com/i/article/2036902131392024576,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @theopenmachine: https://t.co/Q3J64WxecG
